"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3XEo7aOlRzR5a8cF4yI5E8","Didn’t I? (Guts Re-Edit)","spotify:artist:5mMkUZv8uUrlH0SHX89BeS","Guts","spotify:album:7LHtS5IeTudo0k6Ry0q3gJ","Brand New Revolution - EP","spotify:artist:5mMkUZv8uUrlH0SHX89BeS","Guts","2012-10-19","https://i.scdn.co/image/ab67616d0000b2739cd49cbbcffe519ba1802515","1","2","235980","https://p.scdn.co/mp3-preview/8dbcdba16ace2983548551efa99c7b24d1c77178?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:","2019-12-12T19:48:09Z"
"spotify:track:1PQNcWNJt5P9gSLRLA5gmT","Keeping Me Under","spotify:artist:35RvGPQ1OxbEZknWyiaAcs","Two Another","spotify:album:6xyOg4RcE30zIWxXd1VRwZ","Keeping Me Under","spotify:artist:35RvGPQ1OxbEZknWyiaAcs","Two Another","2016-03-11","https://i.scdn.co/image/ab67616d0000b273f79eff1221461e079b16efc6","1","1","218926","","false","0","spotify:user:","2019-12-12T19:48:09Z"
"spotify:track:2afK7FH9DWHYMqltxqf7IT","Don't Matter","spotify:artist:6xmvWip8eqRc5jqv2bHg9j, spotify:artist:01qiJfvXOvrFjFcwwmZ6yc","Cherokee, Darianna Everett","spotify:album:18ebklLtHhzG3thyu1iXmv","Don't Matter","spotify:artist:6xmvWip8eqRc5jqv2bHg9j","Cherokee","2013-11-11","https://i.scdn.co/image/ab67616d0000b2732ccef2adc96fe40c09345c7d","1","1","308256","https://p.scdn.co/mp3-preview/c9ca3cd9f196ed55c8af66aec0d3df5405720861?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:","2019-12-12T19:48:09Z"
"spotify:track:2x5Frs6ts14U4MSLrQQlXg","Why iii Love The Moon.","spotify:artist:0oBsnAC3fzYkTHF3bkfNx6","Phony Ppl","spotify:album:6IGDCUkBJ3LEUoAcoTD46u","Yesterday's Tomorrow","spotify:artist:0oBsnAC3fzYkTHF3bkfNx6","Phony Ppl","2015-01-13","https://i.scdn.co/image/ab67616d0000b273d9ac65941679b76106866c87","1","9","331826","https://p.scdn.co/mp3-preview/2158a0adb3ef129918f0c7862f8cce6d2c4c774c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:","2019-12-12T19:48:09Z"
"spotify:track:0Nc1rZEB2tZLgpxw5nkpEu","Moon","spotify:artist:2G7QgTep5IsJHGHm1hXygD","Kid Francescoli","spotify:album:2FQgN73VPI2y6rTimKXZtA","Play Me Again","spotify:artist:2G7QgTep5IsJHGHm1hXygD","Kid Francescoli","2017-03-03","https://i.scdn.co/image/ab67616d0000b27376adc72a693380ccf279c4e5","1","9","390638","","false","0","spotify:user:","2019-12-12T19:48:09Z"
"spotify:track:00aQGaqM6SFzGfbgKOite0","So Close","spotify:artist:1uiEZYehlNivdK3iQyAbye, spotify:artist:4wdK3zLMWPQK6CD0dpHh8F","Tom Misch, Carmody","spotify:album:30665HqOre14GEeakTMDlG","So Close","spotify:artist:1uiEZYehlNivdK3iQyAbye","Tom Misch","2014-11-03","https://i.scdn.co/image/ab67616d0000b273e7422b391afa65d5daae5d6f","1","1","248157","https://p.scdn.co/mp3-preview/b15091d1162e3ef5548ebca265024b107e754d8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:","2019-12-12T19:48:09Z"
"spotify:track:3cY2nHVVX2ZER1ttxGzLav","Fisher","spotify:artist:2ziSUHAT6LbHKCJIlwHhDG","Camel Power Club","spotify:album:6Vn9Qabk9ADw96OSmx83R6","Sputnik II","spotify:artist:2ziSUHAT6LbHKCJIlwHhDG","Camel Power Club","2019-01-11","https://i.scdn.co/image/ab67616d0000b273bcea74bf6e8cff8e423311c2","1","3","324546","https://p.scdn.co/mp3-preview/0e68b1145473d890774b4d861d83b68e2abb2201?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:","2019-12-12T19:48:09Z"
"spotify:track:5IVF6G0wk3icpfq9UUOmVx","The Basis","spotify:artist:5e3Z7HYpiVcP3TlU0a4yap","Lack Of Afro","spotify:album:1iAHBDFqAvfFQODdpvyDPs","My Groove, Your Move","spotify:artist:5e3Z7HYpiVcP3TlU0a4yap","Lack Of Afro","2009-10-19","https://i.scdn.co/image/ab67616d0000b2737cfa220700c4f042eda7043a","1","8","310466","","false","0","spotify:user:","2019-12-12T19:48:09Z"
"spotify:track:5MChi9fdCbTIWDJPPUuuW6","Beautiful Escape","spotify:artist:1uiEZYehlNivdK3iQyAbye, spotify:artist:6Gk5hoM7eW8NSCYhICMDHw","Tom Misch, Zak Abel","spotify:album:5IW5ko3B1W5doRD3YH9DV8","Beat Tape 2","spotify:artist:1uiEZYehlNivdK3iQyAbye","Tom Misch","2015-08-28","https://i.scdn.co/image/ab67616d0000b27304673b3ef017a7581b96e42f","1","11","276785","https://p.scdn.co/mp3-preview/05d6ec4c2a75bc59a3e36c7bcaadb59d6b8a8f20?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:","2019-12-12T19:48:09Z"
"spotify:track:6vPDjg4zuLlJrzgm9vqZCj","In the Midst of It All","spotify:artist:1uiEZYehlNivdK3iQyAbye, spotify:artist:7JFinw4LobpCUjapyKvsjo","Tom Misch, Sam Wills","spotify:album:5IW5ko3B1W5doRD3YH9DV8","Beat Tape 2","spotify:artist:1uiEZYehlNivdK3iQyAbye","Tom Misch","2015-08-28","https://i.scdn.co/image/ab67616d0000b27304673b3ef017a7581b96e42f","1","6","342603","https://p.scdn.co/mp3-preview/a7a496a29f6a63460c755ec09375417e5fa9407e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:","2019-12-12T19:48:09Z"
"spotify:track:6obKvh06VvBZP98oqU6YR7","Instant Need","spotify:artist:2FwDTncULUnmANIh7qKa5z","FKJ","spotify:album:5NPQ3KFdwLrZKuOebTAIzb","Time for a Change","spotify:artist:2FwDTncULUnmANIh7qKa5z","FKJ","2013-07-08","https://i.scdn.co/image/ab67616d0000b273a496a94cf5dbc127d01e5ea7","1","1","270405","https://p.scdn.co/mp3-preview/d9640740263635cce49c820f82c168552ae17e78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:","2019-12-12T19:48:09Z"
"spotify:track:1i8S8b09hPcQEpi3U5cuwy","Headson","spotify:artist:41Ue54Vb6iWx2dcdRCM6oH, spotify:artist:6Ka4Yad6lJKtSBKPTPYwwy","Kazy Lambist, LC Elo","spotify:album:4aPZe7YMErc8Cq41ggNHHp","Headson","spotify:artist:41Ue54Vb6iWx2dcdRCM6oH","Kazy Lambist","2012","https://i.scdn.co/image/ab67616d0000b2731e1417dee5f5ca7c5b89f807","1","1","188000","","false","0","spotify:user:","2019-12-12T19:48:09Z"
"spotify:track:0lwUE9DGjdbbuwbPbxZyzw","The End","spotify:artist:2I4hRNCYkPKJQlkoEZKjYx, spotify:artist:3LHqODf1hGAgZ5LTw1Gf4C","Monolink, Acid Pauli","spotify:album:3GF7Wo03gvx5m7fdB5Szso","The End","spotify:artist:2I4hRNCYkPKJQlkoEZKjYx, spotify:artist:3LHqODf1hGAgZ5LTw1Gf4C","Monolink, Acid Pauli","2015-04-13","https://i.scdn.co/image/ab67616d0000b273fb7c0e2e14160eabba5277f1","1","1","493599","","false","0","spotify:user:","2019-12-12T19:48:09Z"
"spotify:track:2rvo9Ddv18aRV0OJldhWTf","Goodnight Moon","spotify:artist:4TIrC99WSg0tOtBCGDjMRY","Boogie Belgique","spotify:album:6xFQdyHr6fQrLOmtRHv1Nb","Volta","spotify:artist:4TIrC99WSg0tOtBCGDjMRY","Boogie Belgique","2016-09-23","https://i.scdn.co/image/ab67616d0000b273791630b09247ce55cd250d70","1","3","264735","https://p.scdn.co/mp3-preview/bdb48e3dddb16bf7dbbee378f99c04b42c988326?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:","2019-12-12T19:48:09Z"
"spotify:track:4c60yLpE5lXvICT0pyEaZ5","Better Give U Up","spotify:artist:2FwDTncULUnmANIh7qKa5z","FKJ","spotify:album:0jJ7mMkCkTe7p9EJgSRxgi","French Kiwi Juice","spotify:artist:2FwDTncULUnmANIh7qKa5z","FKJ","2017-03-02","https://i.scdn.co/image/ab67616d0000b273b9fe968166411b66df1e69fd","1","3","256800","https://p.scdn.co/mp3-preview/83c5b6b9d28d98511dc355df3e207569bf1196ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:","2019-12-12T19:48:09Z"
"spotify:track:1mqxC4tqJgSNdIy1sj5kFR","Money","spotify:artist:7b04D0yLktCUpvxQBhmG7R","LEISURE","spotify:album:1orHZz3MF65O74ulKq7Tmw","Twister","spotify:artist:7b04D0yLktCUpvxQBhmG7R","LEISURE","2019-07-26","https://i.scdn.co/image/ab67616d0000b273cba3f062936ce431665eb2ec","1","7","239000","","false","2","spotify:user:","2019-12-12T19:48:09Z"
"spotify:track:15E5y9Vom2U03Fk9VnwSmI","Take It Easy","spotify:artist:1q8H46YhdCtAO8tXHIWe2d","KYTES","spotify:album:64usL8TbUCqdx1uHe4Bu7F","Take It Easy","spotify:artist:1q8H46YhdCtAO8tXHIWe2d","KYTES","2018-11-30","https://i.scdn.co/image/ab67616d0000b27318b71cc08cf368cac81f4acc","1","1","191021","https://p.scdn.co/mp3-preview/7283954ccfeababd036e6b7b70d40c1e34ce542e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:","2019-12-12T19:48:09Z"
"spotify:track:4WLL2Hnnt0egTleTXG3jBi","Forever and Ever","spotify:artist:4TIrC99WSg0tOtBCGDjMRY","Boogie Belgique","spotify:album:2XEImgSW71w19QxwWABzBy","Nightwalker Vol. 1","spotify:artist:4TIrC99WSg0tOtBCGDjMRY","Boogie Belgique","2013-06-27","https://i.scdn.co/image/ab67616d0000b273a3457c7da6e842dd9e1bcddc","1","1","350091","https://p.scdn.co/mp3-preview/0bebae319abda8cdb65e56d13d2608b7c15e6f63?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:","2019-12-12T19:48:09Z"
"spotify:track:3yBgUv7hHzX1K7lpQ1XEr4","Coming Alive","spotify:artist:35RvGPQ1OxbEZknWyiaAcs","Two Another","spotify:album:2djlS6yH1J5iAZ5DkclfbW","Another Tape","spotify:artist:35RvGPQ1OxbEZknWyiaAcs","Two Another","2018-10-12","https://i.scdn.co/image/ab67616d0000b27318f1fa0fe5da49676390bb48","1","3","235568","","false","0","spotify:user:","2019-12-12T19:48:09Z"
"spotify:track:7hdM3l7whE3lTHP6WsoKZT","Reason","spotify:artist:6LtgEnShwvrqAaKohg7skM, spotify:artist:3w18CP1k8zFZb1GfRlPHyK","Hablot Brown, Maths Time Joy","spotify:album:4drK8GetIiILQI15zbGOex","Soulection Black Label: Hablot Brown","spotify:artist:6LtgEnShwvrqAaKohg7skM","Hablot Brown","2018-07-29","https://i.scdn.co/image/ab67616d0000b273528a8a30a08549d59290ee82","1","1","200000","https://p.scdn.co/mp3-preview/0f3e49381bfa43a6bf8f8f4a44bea7cf904ee65b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:","2019-12-12T19:48:09Z"
