"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1irvVQBMRiK3vNEIPdqtDE","Chills","spotify:artist:3GTclJDhrh2C4k8VveMhM6","Bad Decisions","spotify:album:5nwGzqEbJZFeUjY63EbsjG","Chills","spotify:artist:3GTclJDhrh2C4k8VveMhM6","Bad Decisions","2017-11-10","https://i.scdn.co/image/ab67616d0000b27321068792d3ab6c7eea25d214","1","1","194800","https://p.scdn.co/mp3-preview/6ee281b908c501ba42e6116b2b979a24966d1211?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:","2018-12-24T12:43:36Z"
"spotify:track:1dOJtXmqzWgqAw5hX8CJdP","Five Minutes","spotify:artist:1T2WeXEi0XlZiPpjjDAY0L","Her","spotify:album:7tES8iQ9UqwRVQYHLNodzt","Her Tape #1","spotify:artist:1T2WeXEi0XlZiPpjjDAY0L","Her","2016-01-15","https://i.scdn.co/image/ab67616d0000b27358b8460c5ddb2f3e81f9a199","1","3","224672","","false","0","spotify:user:","2018-12-24T12:43:36Z"
"spotify:track:63SevszngYpZOwf63o61K4","Nevermind","spotify:artist:3EOEK57CV77D4ovYVcmiyt","Dennis Lloyd","spotify:album:6c5gDwB7Xo58thk2vap4Ch","Nevermind","spotify:artist:3EOEK57CV77D4ovYVcmiyt","Dennis Lloyd","2017-06-30","https://i.scdn.co/image/ab67616d0000b2734dbdd4d3c69bec0d471fc479","1","1","156600","https://p.scdn.co/mp3-preview/8b9da46ea7fab138f4195dacb54693beb620f3a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:","2018-12-24T12:43:36Z"
"spotify:track:6WXXSigH5bfzZpxAEcc1Th","This Room","spotify:artist:32lo0J8u6KZJTwBOIBrdYS","Fat Freddy's Drop","spotify:album:72Bb08DkLMewuOlfRtiQpp","Based on a True Story","spotify:artist:32lo0J8u6KZJTwBOIBrdYS","Fat Freddy's Drop","2005","https://i.scdn.co/image/ab67616d0000b2736e7ce1eb08add47537aeae2c","1","3","300546","","false","0","spotify:user:","2018-12-24T12:43:36Z"
"spotify:track:4c60yLpE5lXvICT0pyEaZ5","Better Give U Up","spotify:artist:2FwDTncULUnmANIh7qKa5z","FKJ","spotify:album:0jJ7mMkCkTe7p9EJgSRxgi","French Kiwi Juice","spotify:artist:2FwDTncULUnmANIh7qKa5z","FKJ","2017-03-02","https://i.scdn.co/image/ab67616d0000b273b9fe968166411b66df1e69fd","1","3","256800","https://p.scdn.co/mp3-preview/83c5b6b9d28d98511dc355df3e207569bf1196ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:","2018-12-24T12:43:36Z"
"spotify:track:1Th5b8AsauED9F7pGv8Yxi","Fill Me In - AFTR:HRS Mixcut","spotify:artist:6t1gpxYbY8OlLA7D2RiikQ, spotify:artist:2YZWwLVlUDK3KUziV2XHUx","Loud Luxury, Ryan Shepherd","spotify:album:0H1Qt43u7s93a4r5nISub5","AFTR:HRS - Mixed By Tiësto","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z","Tiësto","2016-12-23","https://i.scdn.co/image/ab67616d0000b273a99503981840bbca16e98459","1","8","281493","","false","0","spotify:user:","2018-12-24T12:43:36Z"
"spotify:track:5vw1NoCms2Rg5CknPxSd7O","The Push","spotify:artist:5ccNaPP5XN6y3hs24uIZz1","Wilderness Crew","spotify:album:2iSzdDa4tul0bni8e2FkYT","Wilderness Crew","spotify:artist:5ccNaPP5XN6y3hs24uIZz1","Wilderness Crew","2008-05-06","https://i.scdn.co/image/ab67616d0000b273c7542585a9e24934747692fb","1","13","248000","https://p.scdn.co/mp3-preview/ec221bc211920d520837c986763842bbad40c85f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:","2018-12-24T12:43:36Z"
"spotify:track:4stm6lf1vQBSl7Eq4Npzr0","Big City Life","spotify:artist:5KORW1YGiERJqfuYjXMCyz","Mattafix","spotify:album:4n1tYB2t7IsIPoyCSooPHK","Signs Of A Struggle","spotify:artist:5KORW1YGiERJqfuYjXMCyz","Mattafix","2005","https://i.scdn.co/image/ab67616d0000b273dfbe0339ddb5d5bb033b0735","1","2","240893","https://p.scdn.co/mp3-preview/8db399b2fe549b86eb18393ceaf7403052c099ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:","2018-12-24T12:43:36Z"
"spotify:track:7zlRXldGkO4p6u9Wjxaa4H","Buzzin'","spotify:artist:6f0hUHWLOCxCSDQMtdVAS7","Shwayze","spotify:album:0BneVqLBgRxfaUVDDXplB4","Shwayze","spotify:artist:6f0hUHWLOCxCSDQMtdVAS7","Shwayze","2008-01-01","https://i.scdn.co/image/ab67616d0000b273beaf154cdb694e7d99dd7282","1","4","212280","","true","0","spotify:user:","2018-12-24T12:43:36Z"
"spotify:track:0Va26E7Zg2uMbSxypDmPP8","On Our Knees (Brussels Sounds)","spotify:artist:33B8YdHEKqpNbbKVkQueoF, spotify:artist:7HjjdBLZHCZEIjlLbGVLi0","Konoba, R.O","spotify:album:1mHKohZPGk1jjnDysjedSv","On Our Knees (Brussels Sounds)","spotify:artist:33B8YdHEKqpNbbKVkQueoF, spotify:artist:7HjjdBLZHCZEIjlLbGVLi0","Konoba, R.O","2017-01-01","https://i.scdn.co/image/ab67616d0000b2734bf072acec955c18946cdf79","1","1","290232","https://p.scdn.co/mp3-preview/6f41ff1e8bbb51f94855af1a0277f83e45b23a4b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:","2018-12-24T12:43:36Z"
"spotify:track:140GdyvzODCuH2w5oL8F4e","Pocahontas","spotify:artist:23xqmJEN3oVxwzqtNIyR5m","AnnenMayKantereit","spotify:album:5Hefroewxjp5s8i4CCmPGP","Alles nix konkretes","spotify:artist:23xqmJEN3oVxwzqtNIyR5m","AnnenMayKantereit","2016-03-18","https://i.scdn.co/image/ab67616d0000b2730783541b1c4ede1fe5ae1f2c","1","2","185230","","false","0","spotify:user:","2018-12-24T12:43:36Z"
"spotify:track:3c0YI3VZ1aKfWlKBzTzah4","Letzte Liebe","spotify:artist:3OYM3jjPVR60kOqmamRRgk","Prinz Pi","spotify:album:5ychJJ8YoaOtiCGv8HElAP","Nichts war umsonst","spotify:artist:3OYM3jjPVR60kOqmamRRgk","Prinz Pi","2017-11-03","https://i.scdn.co/image/ab67616d0000b273a71cb434e5512abfbb89a9f9","1","12","214506","https://p.scdn.co/mp3-preview/3727eef9230bb7c8ab7d5ca0664119e4ae6c6582?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:","2018-12-24T12:43:36Z"
