"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4iwpCp7qdDLngGI3gsVTza","Miracle Aligner","spotify:artist:2Z7UcsdweVlRbAk5wH5fsf, spotify:artist:1ctkBmvz80MGyi72Ix055S, spotify:artist:3M0H4efyA5YcijrKlaKbYn","The Last Shadow Puppets, Alex Turner, Miles Kane","spotify:album:6q1ZuWCnYTQb7KhXHZo947","Everything You've Come To Expect (Deluxe Edition)","spotify:artist:2Z7UcsdweVlRbAk5wH5fsf","The Last Shadow Puppets","2016-12-02","https://i.scdn.co/image/ab67616d0000b27399845928b10d57ec9f95e953","1","2","245727","https://p.scdn.co/mp3-preview/1500899b5dd941d57879f69dc698dc1b3201a02b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4MhKiGv1kZUPhbQWrKvkGf","The Golden Throne","spotify:artist:4ogwGU9VPWrnVBs1GEwZVV","Temples","spotify:album:4fN8Wj4c4nrXj6kogr6zgl","Sun Structures (Deluxe Version)","spotify:artist:4ogwGU9VPWrnVBs1GEwZVV","Temples","2014","https://i.scdn.co/image/ab67616d0000b2737a53758a9b6f487374692f33","1","3","250649","https://p.scdn.co/mp3-preview/0a6acd96d62e9821219076a5b133f909191eac96?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2YAp3Kb8Xb6iVMk8Zp8jAH","Something Holy","spotify:artist:3S8P24WjZtVNaPLeXjaCJm","Jealous of the Birds","spotify:album:1zVph8HU5qFkq8bmur2fa2","Peninsula","spotify:artist:3S8P24WjZtVNaPLeXjaCJm","Jealous of the Birds","2020-09-18","https://i.scdn.co/image/ab67616d0000b273a0acddfce1a57639e5478566","1","2","198160","https://p.scdn.co/mp3-preview/98b69afd3df6925c439cac9ed81983b7b8c68d41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0enDszLAooqcY7ZkrsKdaR","Orange","spotify:artist:1K9ioYi2XAVkS3Ky53IELe","Joni","spotify:album:1uLf8PT5c2fy4f3IBwjOHf","Orange","spotify:artist:1K9ioYi2XAVkS3Ky53IELe","Joni","2020-09-04","https://i.scdn.co/image/ab67616d0000b2736379107d0051880ab55737d3","1","1","288584","https://p.scdn.co/mp3-preview/28832262264e5f849fdb869fac1ff3e0d11f3c3b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:01M9XvRcT8hEOf6NOLBHew","Everything You’ve Come To Expect","spotify:artist:2Z7UcsdweVlRbAk5wH5fsf, spotify:artist:1ctkBmvz80MGyi72Ix055S, spotify:artist:3M0H4efyA5YcijrKlaKbYn","The Last Shadow Puppets, Alex Turner, Miles Kane","spotify:album:6q1ZuWCnYTQb7KhXHZo947","Everything You've Come To Expect (Deluxe Edition)","spotify:artist:2Z7UcsdweVlRbAk5wH5fsf","The Last Shadow Puppets","2016-12-02","https://i.scdn.co/image/ab67616d0000b27399845928b10d57ec9f95e953","1","4","193865","https://p.scdn.co/mp3-preview/a3ba7c268e3f2e07b9449ddd94cc8fe8c8cfb1b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1QmBbi20PFh9GLbyTJ0ifu","It Always Happens This Way","spotify:artist:5WNwVC8yfHdfVHlSTFvegT","Toulouse","spotify:album:01SV7xKerZN9Fv37yVON6c","The Best of Toulouse","spotify:artist:5WNwVC8yfHdfVHlSTFvegT","Toulouse","2013-05-03","https://i.scdn.co/image/ab67616d0000b2738c6726aaae360090bd7d5bea","1","1","207826","https://p.scdn.co/mp3-preview/2c6b59acabc7c5b900aefd44bd1ab05045595c5e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4wilEW0exnzAyDwdX9e8fZ","Frühling Winter","spotify:artist:5syyAQTWJ2BaLtjOKE99MK","OK KID","spotify:album:2sDIGFejhH7cyPQspE4S1V","Frühling Winter","spotify:artist:5syyAQTWJ2BaLtjOKE99MK","OK KID","2021-01-22","https://i.scdn.co/image/ab67616d0000b27330d157aa818e8b901d818771","1","1","272031","https://p.scdn.co/mp3-preview/62c2c69bb2bdb48da3d269e866bb9c04841cd291?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0fUo33Ryw7ValBsv9YhIGS","On the Outside","spotify:artist:1zkHConahaP6T8EBpg8BeE","Ethan Gruska","spotify:album:2qnDuMSAFO9PADlED1CnLt","On the Outside","spotify:artist:1zkHConahaP6T8EBpg8BeE","Ethan Gruska","2019-10-25","https://i.scdn.co/image/ab67616d0000b2730d5862d3bee47c1206b438a0","1","1","189215","https://p.scdn.co/mp3-preview/59ea31a8b95bb71168b62e549572a05e218bb394?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4LqnVwGQlJQ7HvW8tEA9vp","Free to Live in Colour","spotify:artist:0Mwm5rtTYi44wClH4ZXjkI","Pixey","spotify:album:4luQOplfg3mJ2MnNy2rT5X","Free to Live in Colour","spotify:artist:0Mwm5rtTYi44wClH4ZXjkI","Pixey","2020-10-29","https://i.scdn.co/image/ab67616d0000b273024621a76d3227fb2a82126c","1","1","194312","https://p.scdn.co/mp3-preview/d31fa5b9455e15a3bc62ee5fd58aa13a64490ee1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3aZvTsLDS31AzamNfgc1D3","Twenty Long Years","spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25","Lord Huron","spotify:album:5xiePX6kXj5ZsmUsqIqzeD","Long Lost","spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25","Lord Huron","2021-05-21","https://i.scdn.co/image/ab67616d0000b2731c18ab47e15a19af3246a792","1","8","290813","https://p.scdn.co/mp3-preview/cc58aeeca2a7e72203ca436a0f86833efb04890c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:","1970-01-01T00:00:00Z"
