"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5iXuX70Sxp6sKdumBcQQW7","Katie Queen Of Tennessee","spotify:artist:62pBNClOEZJEyRXrzC2CtI","The Apache Relay","spotify:album:239UV8PJLsEaJfcNM4T7rb","Apache Relay","spotify:artist:62pBNClOEZJEyRXrzC2CtI","The Apache Relay","2014-01-01","https://i.scdn.co/image/ab67616d0000b273114da5ff2994981f254cba83","1","1","204653","","false","0","spotify:user:","2019-12-12T21:23:11Z"
"spotify:track:5Bs2WLFNYyPONV6FiLVUTy","Borderline","spotify:artist:6u8KyY2rfBGDtDejRJ9JaQ","Madeline Juno","spotify:album:5OZyN4uqGfpCJMaKCRszUk","Borderline","spotify:artist:6u8KyY2rfBGDtDejRJ9JaQ","Madeline Juno","2018-06-15","https://i.scdn.co/image/ab67616d0000b2731416d3416ee918d3b902b426","1","1","207992","https://p.scdn.co/mp3-preview/da656c30bf3262f330ea86ef7d6b743453e9387f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:","2019-12-12T21:23:11Z"
"spotify:track:7Fba2vv2ye3iNplGLLkIy1","Winter of '98","spotify:artist:7LLcRttKjV6PeJOlCNCYon","Cayucas","spotify:album:2468gvPv73bRmTsbutlsk8","Winter of '98","spotify:artist:7LLcRttKjV6PeJOlCNCYon","Cayucas","2018-11-30","https://i.scdn.co/image/ab67616d0000b273de9f4ec70ca15980fcf85fcd","1","1","222613","","false","0","spotify:user:","2019-12-12T21:23:11Z"
"spotify:track:1KuVdyg8d6NlRhbpHxg5UF","Social Cues","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","spotify:album:2VuZJsJBPLwg9BeQFQle8G","Social Cues","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","2019-04-19","https://i.scdn.co/image/ab67616d0000b27388883701231713b18429f80b","1","2","219053","https://p.scdn.co/mp3-preview/6f995b4f8d31853514c53fc2d4672fd824c76986?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:","2019-12-12T21:23:11Z"
"spotify:track:4GaFm87ain13qtg3CkWR8b","Reckless Lover","spotify:artist:3IaqL9bsZtYJkqNLiovVho","Handsome Ghost","spotify:album:5eLr7pwuHAUEnCCRyc9J7V","Welcome Back","spotify:artist:3IaqL9bsZtYJkqNLiovVho","Handsome Ghost","2018-01-26","https://i.scdn.co/image/ab67616d0000b2731f3d222a4ac81c2bb3096023","1","2","250623","https://p.scdn.co/mp3-preview/bef347c09055884d4e98e5951fa384e6a8dd59e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:","2019-12-12T21:23:11Z"
"spotify:track:53jbdPQBaH6WaQvW0zmGBs","Talia","spotify:artist:6beUvFUlKliUYJdLOXNj9C","King Princess","spotify:album:5Z9ThGv7MrUjdZJREO9GOF","Talia","spotify:artist:6beUvFUlKliUYJdLOXNj9C","King Princess","2018-04-13","https://i.scdn.co/image/ab67616d0000b2738ac5ffb7e48b5a49453b4a4e","1","1","207720","https://p.scdn.co/mp3-preview/8af9bf34b8097c2a1d688c1c4d6d14f12f35c74c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:","2019-12-12T21:23:11Z"
"spotify:track:4Y6GIje3GErVRIq1Ff5BJq","Black Madonna","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","spotify:album:2VuZJsJBPLwg9BeQFQle8G","Social Cues","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","2019-04-19","https://i.scdn.co/image/ab67616d0000b27388883701231713b18429f80b","1","3","226533","https://p.scdn.co/mp3-preview/3335be44371bf1b5d21193b39aa454b1b0adbbdc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:","2019-12-12T21:23:11Z"
"spotify:track:3D15FZXmjfna7aFfKmEajd","Are You Ready For Love? - Remastered","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","spotify:album:1uzIyRT1QxDx4fMIX0UiAE","Diamonds (Deluxe)","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","2017-11-10","https://i.scdn.co/image/ab67616d0000b27309724913b269c9c75c5b03d9","2","13","212440","https://p.scdn.co/mp3-preview/b3578c5fe9b626c6e305a8262de8dd7b3d79b174?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:","2019-12-12T21:23:11Z"
"spotify:track:3RiPr603aXAoi4GHyXx0uy","Hymn for the Weekend","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:3cfAM8b8KqJRoIzt3zLKqw","A Head Full of Dreams","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2015-12-04","https://i.scdn.co/image/ab67616d0000b2738ff7c3580d429c8212b9a3b6","1","3","258266","https://p.scdn.co/mp3-preview/b14e14b9e6c1dbe07461d078a88194363c64e1bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","spotify:user:","2019-12-12T21:23:11Z"
"spotify:track:2BGJxKzEcF2YnSzV1ov2Nm","Was It Something I Said","spotify:artist:191tnItkCke3YcHpUxDOD9","MyKey","spotify:album:6XMhgQTieDsJoCSgT1Kl5I","Was It Something I Said","spotify:artist:191tnItkCke3YcHpUxDOD9","MyKey","2019-07-26","https://i.scdn.co/image/ab67616d0000b273909a20c219dffc711f254c7b","1","1","220588","https://p.scdn.co/mp3-preview/f17e20889715e688fab4bf774042fd29c14a3730?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:","2019-12-12T21:23:11Z"
